Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Weight (LB),Volume (CUFT),Product Dimension (Inch),Color
naucalpan-vanity-set-w-stool,Furniture of America - NAUCALPAN Vanity Set w/ Stool,"<p><span style=""color:White""><strong>FREE SHIPPING</strong></span><br>
NAUCALPAN Vanity Set w/ Stool offers a pulled-together look that makes the room feel ready to use and enjoy. This accent vanity is made to fit naturally into the room. A Traditional profile gives the space a refined, approachable look. Crafted with Fabric, Solid Wood, Engineered Wood, then finished in White tones to suit a range of interiors.<br>
Product Dimensions: 47.5""W X 26""D X 46""H, STOOL: 15.5""W X 15.5""D X 16""H</p>

<p>Features<br>
- Traditional<br>
- Felt-lined Top Drawers<br>
- Bracketed Feet</p>

<p>Materials: Fabric, Solid Wood, Engineered Wood.<br>
Color: White<br>
Weight: 90.86 lbs<br>
Volume : 12.5 CUFT</p>",Furniture of America,,Vanity,"2026, Accent, BEDROOM FURNITURE, Furniture of America, Indoor Furniture, NAUCALPAN, New Arrival, Quick Ship Furniture, Vanity",true,Title,Default Title,,,,,,,,FM7456WH-V-SET,41212.994505067,shopify,20,deny,manual,395,507.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7456WH-V-1_1c0eadcd-b361-40e1-a1dc-fc38d988723f.jpg?v=1773954773,1,naucalpan-vanity-set-w-stool,false,NAUCALPAN Vanity Set w/ Stool,"Shop NAUCALPAN Vanity Set w/ Stool. Traditional style. Fabric, Solid Wood build. Color: White. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7456WH-V-1_1c0eadcd-b361-40e1-a1dc-fc38d988723f.jpg?v=1773954773,lb,,229.00,Active,90.86,12.5,"47.5""W X 26""D X 46""H, STOOL: 15.5""W X 15.5""D X 16""H",White
naucalpan-vanity-set-w-stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7456WH-V-2_e41fd245-cfaa-4317-9f92-775f21fccef5.jpg?v=1773954773,2,naucalpan-vanity-set-w-stool,,,,,,,,Active,,,,
naucalpan-vanity-set-w-stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7456WH-V-WB-1_fd82ac29-f021-4093-a929-25804992871e.jpg?v=1773954773,3,naucalpan-vanity-set-w-stool,,,,,,,,Active,,,,
naucalpan-vanity-set-w-stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7456WH-V-WB-2_bedac701-2016-4e9b-9006-1a3d89c3571f.jpg?v=1773954773,4,naucalpan-vanity-set-w-stool,,,,,,,,Active,,,,
naucalpan-vanity-set-w-stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7456WH-V-WB-3_89071ece-a513-4635-8827-4b5891eb3139.jpg?v=1773954773,5,naucalpan-vanity-set-w-stool,,,,,,,,Active,,,,
naucalpan-vanity-set-w-stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7456WH-V-WB-4_932a1c29-180e-4a20-9911-04e50f2f2f91.jpg?v=1773954773,6,naucalpan-vanity-set-w-stool,,,,,,,,Active,,,,
vaugh-accent-chair-w-ottoman,Furniture of America - VAUGH Accent Chair w/ Ottoman,"<p><span style=""color:Rustic Brown""><strong>FREE SHIPPING</strong></span><br>
VAUGH Accent Chair w/ Ottoman offers a pulled-together look that makes the room feel ready to use and enjoy. This accent chair is made to fit naturally into the room. A Traditional profile gives the space a refined, approachable look. Crafted with Leatherette, Engineered Wood, then finished in Rustic Brown tones to suit a range of interiors.<br>
Product Dimensions: 33""W X 30""D X 43 3/4""H</p>

<p>Features<br>
- Traditional<br>
- Button Tufting w/ Nailhead Trim<br>
- Cabriole Legs<br>
- Matching Ottoman Available Included items and dimensions:<br>
- Accent Chair: color: Rustic Brown<br>
- Ottoman: color: Rustic Brown</p>

<p>Materials: Leatherette, Engineered Wood.<br>
Color: Rustic Brown<br>
Weight: 90.2 lbs<br>
Volume : 14.7 CUFT</p>",Furniture of America,,Chair,"2026, Accent, Chair, Furniture of America, Indoor Furniture, LIVING ROOM FURNITURE, New Arrival, Quick Ship Furniture, VAUGH, LTL",true,Title,Default Title,,,,,,,,CM-AC6801BR-SET,40913.986414763,shopify,20,deny,manual,535,927.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM-AC6801BR_b85b835e-dbcc-487f-84d9-525f0dba9c6c.jpg?v=1773954775,1,vaugh-accent-chair-w-ottoman,false,VAUGH Accent Chair w/ Ottoman,"Shop VAUGH Accent Chair w/ Ottoman. Traditional style. Leatherette, Engineered Wood build. Color: Rustic Brown. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM-AC6801BR_b85b835e-dbcc-487f-84d9-525f0dba9c6c.jpg?v=1773954775,lb,,359.00,Active,90.2,14.7,"33""W X 30""D X 43 3/4""H",Rustic Brown
