"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option1 Linked To","Option2 Name","Option2 Value","Option2 Linked To","Option3 Name","Option3 Value","Option3 Linked To","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Unit Price Total Measure","Unit Price Total Measure Unit","Unit Price Base Measure","Unit Price Base Measure Unit","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Status","Upload Status"
"westerham-70-tv-stand","WESTERHAM 70"" TV Stand","<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
WESTERHAM 70"" TV Stand brings a Modern look to your home with a refined, comfortable feel. This living tv stand is made to fit naturally into the room. The Solid Rubberwood, Cherry Veneer, Poplar Burl Veneer construction is complemented by Dark Cherry tones for a polished look.<br>
Product Dimensions: 70""W X 18""D X 30""H Bonus storage &amp; convenience features (from matching set pieces): Felt-Lined Drawer and LED on End Table</p>

<p>Materials: Solid Rubberwood, Cherry Veneer, Poplar Burl Veneer.<br>
Color: Dark Cherry</p>","GOODDEGG","","TV Stand","2026, Furniture of America, Indoor Furniture, Living, LIVING ROOM FURNITURE, New Arrival, Quick Ship Furniture, TV Stand, WESTERHAM","true","Title","Default Title","","","","","","","","FM44001CH-TV-70","0.0","shopify","20","deny","manual","1257.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM44001CH-TV-1.jpg?v=1773920441","1","westerham-70-tv-stand","false","WESTERHAM 70"" TV Stand","Shop WESTERHAM 70"" TV Stand. Modern style. Solid Rubberwood, Cherry Veneer build. Color: Dark Cherry. Free shipping. Buy now at GOODDEGG.","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM44001CH-TV-1.jpg?v=1773920441","lb","","549.00","active",""
"westerham-70-tv-stand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM44001CH-TV-WB-1.jpg?v=1773920441","2","westerham-70-tv-stand","","","","","","","","active",""
"westerham-70-tv-stand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM44001CH-TV-WB-3_a064488f-da76-400f-8207-1c7ab49fa21a.jpg?v=1773920441","3","westerham-70-tv-stand","","","","","","","","active",""
"westerham-70-tv-stand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM44001CH-TV-WB-4_5c24df82-5b0d-4052-bc00-6fb85371531e.jpg?v=1773920441","4","westerham-70-tv-stand","","","","","","","","active",""
"westerham-70-tv-stand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM44001CH-TV-WB-5_f85a6deb-b974-41a5-99af-8ee1574a61a0.jpg?v=1773920441","5","westerham-70-tv-stand","","","","","","","","active",""
"westerham-70-tv-stand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM44001CH-TV-WB-6_201a2e3e-8aff-4bd0-99fe-db47d15180ee.jpg?v=1773920441","6","westerham-70-tv-stand","","","","","","","","active",""
"idanha-tv-stand","IDANHA TV Stand","<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
IDANHA TV Stand brings a Mid-century Modern look to your home with a refined, comfortable feel. Built as a living tv stand, it pairs well with a wide range of interiors. The Engineered Wood, Metal construction is complemented by Natural tones for a polished look.<br>
Product Dimensions: 56""W X 16""D X 32""H</p>

<p>Materials: Engineered Wood, Metal.<br>
Color: Natural<br>
Weight: 81.5 lbs</p>","GOODDEGG","","TV Stand","2026, Furniture of America, IDANHA, Indoor Furniture, Living, LIVING ROOM FURNITURE, New Arrival, Quick Ship Furniture, TV Stand","true","Title","Default Title","","","","","","","","SL-AC4001-TV","36968.004951185","shopify","20","deny","manual","327.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/SL-AC4001-TV-1.jpg?v=1773920440","1","idanha-tv-stand","false","IDANHA TV Stand","Shop IDANHA TV Stand. Mid-century Modern style. Engineered Wood, Metal build. Color: Natural. Free shipping. Buy now at GOODDEGG.","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/SL-AC4001-TV-1.jpg?v=1773920440","lb","","129.00","active",""
"idanha-tv-stand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/SL-AC4001-TV-WB-2.jpg?v=1773920440","2","idanha-tv-stand","","","","","","","","active",""
"idanha-tv-stand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/SL-AC4001-TV-WB-5.jpg?v=1773920440","3","idanha-tv-stand","","","","","","","","active",""
"idanha-tv-stand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/SL-AC4001-TV-WB-6.jpg?v=1773920440","4","idanha-tv-stand","","","","","","","","active",""
"hepburne-70-tv-stand","HEPBURNE 70"" TV Stand","<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
HEPBURNE 70"" TV Stand adds a LED Light on Pier touch while keeping the room feeling warm and welcoming. This living tv stand is made to fit naturally into the room. Crafted from Gold-Capped Legs, it is finished in Adjustable Shelves tones that pair easily with surrounding decor.<br>
Product Dimensions: 70""W X 18""D X 30""H</p>

<p>Materials: Gold-Capped Legs.<br>
Color: Adjustable Shelves</p>","GOODDEGG","","TV Stand","2026, Furniture of America, HEPBURNE, Indoor Furniture, Living, LIVING ROOM FURNITURE, New Arrival, Quick Ship Furniture, TV Stand","true","Title","Default Title","","","","","","","","FM54000WN-TV-70","0.0","shopify","20","deny","manual","1101.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM54000WN-TV-70-1_7f873a45-61c5-4b3f-9a5d-a1fac99aed55.jpg?v=1773920440","1","hepburne-70-tv-stand","false","HEPBURNE 70"" TV Stand","Shop HEPBURNE 70"" TV Stand. LED Light on Pier style. Gold-Capped Legs build. Color: Adjustable Shelves. Free shipping. Buy now at GOODDEGG.","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM54000WN-TV-70-1_7f873a45-61c5-4b3f-9a5d-a1fac99aed55.jpg?v=1773920440","lb","","494.00","active",""
"hepburne-70-tv-stand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM54000WN-TV-70-WB-1_8af3cc51-5ac8-494c-8fd6-bb6ef258cedd.jpg?v=1773920439","2","hepburne-70-tv-stand","","","","","","","","active",""
"hepburne-70-tv-stand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM54000WN-TV-70-WB-2.jpg?v=1773920439","3","hepburne-70-tv-stand","","","","","","","","active",""
"hepburne-70-tv-stand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM54000WN-TV-70-WB-3.jpg?v=1773920439","4","hepburne-70-tv-stand","","","","","","","","active",""
"hepburne-70-tv-stand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM54000WN-TV-70-WB-4_f6623a41-b983-469b-aaf5-692de21bcf0d.jpg?v=1773920439","5","hepburne-70-tv-stand","","","","","","","","active",""
"hepburne-70-tv-stand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM54000WN-TV-70-WB-5.jpg?v=1773920439","6","hepburne-70-tv-stand","","","","","","","","active",""
"hepburne-70-tv-stand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM54000WN-TV-70-WB-6.jpg?v=1773920439","7","hepburne-70-tv-stand","","","","","","","","active",""
"hepburne-70-tv-stand","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/FM54000WN-TV-70-WB-7_5e12581f-a505-4afb-bc1b-f96fdd8ddf62.jpg?v=1773920439","8","hepburne-70-tv-stand","","","","","","","","active",""
"garibaldi-tv-stand","GARIBALDI TV Stand","<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
GARIBALDI TV Stand brings a Rustic Farmhouse look to your home with a refined, comfortable feel. Built as a living tv stand, it pairs well with a wide range of interiors. The Paper, Engineered Wood, Metal construction is complemented by Brown or Gray tones for a polished look.<br>
Product Dimensions: 56""W X 16""D X 28""H Bonus storage &amp; convenience features (from matching set pieces): Sliding Drawer Doors</p>

<p>Materials: Paper, Engineered Wood, Metal.<br>
Color: Brown or Gray<br>
Weight: 82.8 lbs</p>","GOODDEGG","","TV Stand","2026, Furniture of America, GARIBALDI, Indoor Furniture, Living, LIVING ROOM FURNITURE, New Arrival, Quick Ship Furniture, TV Stand","true","Title","Default Title","","","","","","","","SL-AC4000-TV","37556.99464363","shopify","20","deny","manual","327.00","","true","false","","","","","","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/SL-AC4000-TV-1.jpg?v=1773920438","1","garibaldi-tv-stand","false","GARIBALDI TV Stand","Shop GARIBALDI TV Stand. Rustic Farmhouse style. Paper, Engineered Wood build. Color: Brown/Gray. Free shipping. Buy now at GOODDEGG.","https://cdn.shopify.com/s/files/1/0787/1948/4133/files/SL-AC4000-TV-1.jpg?v=1773920438","lb","","129.00","active",""
