Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
naucalpan-vanity-set-w-stool,NAUCALPAN Vanity Set w/ Stool,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
NAUCALPAN Vanity Set w/ Stool offers a pulled-together look that makes the room feel ready to use and enjoy. This accent vanity is made to fit naturally into the room. A Traditional profile gives the space a refined, approachable look. Crafted with Fabric, Solid Wood, Engineered Wood, then finished in White tones to suit a range of interiors.<br>
Product Dimensions: 47.5""W X 26""D X 46""H, STOOL: 15.5""W X 15.5""D X 16""H</p>

<p>Features<br>
- Traditional<br>
- Felt-lined Top Drawers<br>
- Bracketed Feet</p>

<p>Materials: Fabric, Solid Wood, Engineered Wood.<br>
Color: White<br>
Weight: 90.86 lbs</p>",GOODDEGG,Furniture > Cabinets & Storage > Vanities > Bedroom Vanities,Vanity,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Color,White,,,,,,,,FM7456WH-V-SET,41213,shopify,20,deny,manual,507,,TRUE,FALSE,,,,,,FM7456WH-V-1.jpg,1,naucalpan-vanity-set-w-stool,FALSE,NAUCALPAN Vanity Set w/ Stool,"Shop NAUCALPAN Vanity Set w/ Stool. Traditional style. Fabric, Solid Wood build. Color: White. Free shipping. Buy now at GOODDEGG.",FM7456WH-V-1.jpg,lb,,229,active
naucalpan-vanity-set-w-stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM7456WH-V-2.jpg,2,naucalpan-vanity-set-w-stool,,,,,,,,
naucalpan-vanity-set-w-stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM7456WH-V-WB-1.jpg,3,naucalpan-vanity-set-w-stool,,,,,,,,
naucalpan-vanity-set-w-stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM7456WH-V-WB-2.jpg,4,naucalpan-vanity-set-w-stool,,,,,,,,
naucalpan-vanity-set-w-stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM7456WH-V-WB-3.jpg,5,naucalpan-vanity-set-w-stool,,,,,,,,
naucalpan-vanity-set-w-stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM7456WH-V-WB-4.jpg,6,naucalpan-vanity-set-w-stool,,,,,,,,
vaugh-accent-chair-w-ottoman,VAUGH Accent Chair w/ Ottoman,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
VAUGH Accent Chair w/ Ottoman offers a pulled-together look that makes the room feel ready to use and enjoy. This accent chair is made to fit naturally into the room. A Traditional profile gives the space a refined, approachable look. Crafted with Leatherette, Engineered Wood, then finished in Rustic Brown tones to suit a range of interiors.<br>
Product Dimensions: 33""W X 30""D X 43 3/4""H</p>

<p>Features<br>
- Traditional<br>
- Button Tufting w/ Nailhead Trim<br>
- Cabriole Legs<br>
- Matching Ottoman Available Included items and dimensions:<br>
- Accent Chair: color: Rustic Brown; dimensions: 33"" W x 30""D x 43 3 or 4"" H; feature: Traditional<br>
- Ottoman: color: Rustic Brown; dimensions: 20"" W x 20""D x 16"" H; feature: Traditional</p>

<p>Materials: Leatherette, Engineered Wood.<br>
Color: Rustic Brown<br>
Weight: 90.2 lbs</p>",GOODDEGG,Furniture > Chairs,Chair,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026",TRUE,Color,Rustic Brown,,,,,,,,CM-AC6801BR-SET,40914,shopify,20,deny,manual,927,,TRUE,FALSE,,,,,,CM-AC6801BR.jpg,1,vaugh-accent-chair-w-ottoman,FALSE,VAUGH Accent Chair w/ Ottoman,"Shop VAUGH Accent Chair w/ Ottoman. Traditional style. Leatherette, Engineered Wood build. Color: Rustic Brown. Free shipping. Buy now at GOODDEGG.",CM-AC6801BR.jpg,lb,,359,active
vaugh-accent-chair-w-ottoman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM-AC6801BR-ARM.jpg,2,vaugh-accent-chair-w-ottoman,,,,,,,,
vaugh-accent-chair-w-ottoman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CM-AC6801BR-TEXTURE.jpg,3,vaugh-accent-chair-w-ottoman,,,,,,,,
