Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
antigua-height-adjustable-table,ANTIGUA Height-Adjustable Table,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
ANTIGUA Height brings a Contemporary look to your home with a refined, comfortable feel. Built as a outdoor table, it pairs well with a wide range of interiors. The Aluminum, Polyethylene Wicker, Polyspun construction is complemented by Gun Metal or Brown or Gray tones for a polished look.<br>
Product Dimensions: 63""L X 35 1/2""W X 17 3/4 - 27""H<br>
Size: Adjustable Table</p>

<p>Materials: Aluminum, Polyethylene Wicker, Polyspun.<br>
Color: Gun Metal or Brown or Gray<br>
Weight: 38.6 lbs</p>",GOODDEGG,Furniture > Tables,Table,"Furniture of America, Quick Ship Furniture, New Arrival, Outdoor Furniture, 2026, Outdoor, Table, ANTIGUA, LIVING ROOM FURNITURE",TRUE,Size,Adjustable Table,,,,,,,,GM-1003,17509,shopify,20,deny,manual,960,,TRUE,FALSE,,,,,,GM-1003-1.jpg,1,antigua-height-adjustable-table,FALSE,ANTIGUA Height-Adjustable Table,"Shop ANTIGUA Height-Adjustable Table. Contemporary style. Aluminum, Polyethylene Wicker build. Size: Adjustable Table. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-1003-1.jpg,lb,,350,active
antigua-height-adjustable-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GM-1003-WB-1.jpg,2,antigua-height-adjustable-table,,,,,,,,
arosa-fire-pit-counter-height-table,AROSA Fire Pit Counter Height Table,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
AROSA Fire Pit Counter Height Table adds a Contemporary touch while keeping the room feeling warm and welcoming. This outdoor table is made to fit naturally into the room. Crafted from Steel, Ceramic Tile, Polyrattan, Polyspun Fabric, it is finished in Black or Gray tones that pair easily with surrounding decor.<br>
Product Dimensions: 36.5""W X 36.5""D X 36.5""H</p>

<p>Materials: Steel, Ceramic Tile, Polyrattan, Polyspun Fabric.<br>
Color: Black or Gray<br>
Weight: 84 lbs</p>",GOODDEGG,Furniture > Tables,Table,"Furniture of America, Quick Ship Furniture, New Arrival, Outdoor Furniture, 2026, Outdoor, Table, AROSA, LIVING ROOM FURNITURE",TRUE,Color,Black/Gray,,,,,,,,GM-2024,38102,shopify,20,deny,manual,927,,TRUE,FALSE,,,,,,GM-2024-WB-1.jpg,1,arosa-fire-pit-counter-height-table,FALSE,AROSA Fire Pit Counter Height Table,"Shop AROSA Fire Pit Counter Height Table. Contemporary style. Steel, Ceramic Tile build. Color: Black/Gray. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-2024-WB-1.jpg,lb,,339,active
arosa-fire-pit-counter-height-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GM-2024-3PC.jpg,2,arosa-fire-pit-counter-height-table,,,,,,,,
barbuda-fire-pit-table,BARBUDA Fire Pit Table,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with BARBUDA Fire Pit Table, styled in Contemporary and designed for everyday comfort. As a outdoor table, it is designed to complement your space. With Steel, Polyrattan, Polyspun Fabric and Gray tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 39"" DIA X 27.2""H</p>

<p>Materials: Steel, Polyrattan, Polyspun Fabric.<br>
Color: Gray<br>
Weight: 103.51 lbs</p>",GOODDEGG,Furniture > Tables,Table,"Furniture of America, Quick Ship Furniture, New Arrival, Outdoor Furniture, 2026, Outdoor, Table, BARBUDA, LIVING ROOM FURNITURE",TRUE,Color,Gray,,,,,,,,GM-1045,46951,shopify,20,deny,manual,1200,,TRUE,FALSE,,,,,,GM-1045-WB-1.jpg,1,barbuda-fire-pit-table,FALSE,BARBUDA Fire Pit Table,"Shop BARBUDA Fire Pit Table. Contemporary style. Steel, Polyrattan build. Color: Gray. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-1045-WB-1.jpg,lb,,450,active
barbuda-fire-pit-table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GM-1045-6PC-1.jpg,2,barbuda-fire-pit-table,,,,,,,,
bordeaux-dining-table-w-fire-pit-and-cooler,BORDEAUX Dining Table w/ Fire Pit & Cooler,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with BORDEAUX Dining Table w/ Fire Pit &amp; Cooler, styled in Contemporary and designed for everyday comfort. Built as a outdoor table, it pairs well with a wide range of interiors. With Aluminum, Stainless Steel and Brown tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 70.5""W X 38.5""D X 29""H</p>

<p>Materials: Aluminum, Stainless Steel.<br>
Color: Brown<br>
Weight: 184.8 lbs</p>",GOODDEGG,Furniture > Tables,Table,"Furniture of America, Quick Ship Furniture, New Arrival, Outdoor Furniture, 2026, Outdoor, Table, BORDEAUX, LIVING ROOM FURNITURE",TRUE,Color,Brown,,,,,,,,GM-2017-PK,83824,shopify,20,deny,manual,3837,,TRUE,FALSE,,,,,,GM-2017-WB-1.jpg,1,bordeaux-dining-table-w-fire-pit-and-cooler,FALSE,BORDEAUX Dining Table w/ Fire Pit & Cooler,"Shop BORDEAUX Dining Table w/ Fire Pit & Cooler. Contemporary style. Aluminum, Stainless Steel build. Color: Brown. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/GM-2017-WB-1.jpg,lb,,1399,active
bordeaux-dining-table-w-fire-pit-and-cooler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GM-2017-6PC.jpg,2,bordeaux-dining-table-w-fire-pit-and-cooler,,,,,,,,
bordeaux-dining-table-w-fire-pit-and-cooler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GM-2017-2.jpg,3,bordeaux-dining-table-w-fire-pit-and-cooler,,,,,,,,
bordeaux-dining-table-w-fire-pit-and-cooler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GM-2017-3.jpg,4,bordeaux-dining-table-w-fire-pit-and-cooler,,,,,,,,
