Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
clean-living-furniture-care-kit-clean-living-furniture-care-kit,CLEAN LIVING FURNITURE CARE KIT Clean Living Furniture Care Kit,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
CLEAN LIVING FURNITURE CARE KIT Clean Living Furniture Care Kit is designed to complement your space with a balanced, versatile look.<br>
Product Dimensions: 8.25"" W X 2"" X 7.5"" H<br>
Weight: 2.25 lbs</p>",GOODDEGG,,,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, CLEAN LIVING FURNITURE CARE KIT",TRUE,Type,Single Item,,,,,,,,M-CareKit-A,1021,shopify,20,deny,manual,45,,TRUE,FALSE,,,,,,M-CareKit-A-1.jpg,1,clean-living-furniture-care-kit-clean-living-furniture-care-kit,FALSE,CLEAN LIVING FURNITURE CARE KIT Clean Living Furniture Care Kit,Shop CLEAN LIVING FURNITURE CARE KIT Clean Living Furniture Care Kit. Free shipping. Buy now at GOODDEGG.,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/M-CareKit-A-1.jpg,lb,,15,active
clean-living-furniture-care-kit-clean-living-furniture-care-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M-CAREKIT-A-2.jpg,2,clean-living-furniture-care-kit-clean-living-furniture-care-kit,,,,,,,,
clean-living-furniture-care-kit-clean-living-furniture-care-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M-CAREKIT-A-3.jpg,3,clean-living-furniture-care-kit-clean-living-furniture-care-kit,,,,,,,,
clean-living-furniture-care-kit-clean-living-furniture-care-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M-CAREKIT-A-4.jpg,4,clean-living-furniture-care-kit-clean-living-furniture-care-kit,,,,,,,,
