Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
jambi-loveseat,JAMBI Loveseat,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Make the room feel complete with JAMBI Loveseat and its Transitional character. Built as a nexoes loveseat, it pairs well with a wide range of interiors. Finished in Brown tones, the Breathable Leather, Solid Wood, build balances durability with visual appeal.<br>
Product Dimensions: 77""W X 41.3""D X 41.1""H</p>

<p>Features<br>
- Made with solid wood &amp; wood veneer</p>

<p>Materials: Breathable Leather, Solid Wood.<br>
Color: Brown<br>
Weight: 99 lbs</p>",GOODDEGG,Furniture > Sofas > Loveseat Sofas,Loveseat,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Nexoes, Loveseat, JAMBI, LIVING ROOM FURNITURE",TRUE,Color,Brown,,,,,,,,NX6011BR-LV,44906,shopify,20,deny,manual,1080,,TRUE,FALSE,,,,,,NX6011BR-LV-1.jpg,1,jambi-loveseat,FALSE,JAMBI Loveseat,"Shop JAMBI Loveseat. Transitional style. Breathable Leather, Solid Wood build. Color: Brown. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/NX6011BR-LV-1.jpg,lb,,510,active
jambi-loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NX6011BR-1-Z.jpg,2,jambi-loveseat,,,,,,,,
jambi-rocker-recliner-chair,JAMBI Rocker Recliner Chair,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
JAMBI Rocker Recliner brings a Transitional look to your home with a refined, comfortable feel. As a nexoes chair, it is designed to complement your space. The Breathable Leather, Solid Wood, construction is complemented by Brown tones for a polished look.<br>
Product Dimensions: 45.9""W X 41.3""D X 41.1""H</p>

<p>Features<br>
- Made with solid wood &amp; wood veneer</p>

<p>Materials: Breathable Leather, Solid Wood.<br>
Color: Brown<br>
Weight: 55.5 lbs</p>",GOODDEGG,Furniture > Chairs,Chair,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Nexoes, Chair, JAMBI, LIVING ROOM FURNITURE",TRUE,Color,Brown,,,,,,,,NX6011BR-CH,25174,shopify,20,deny,manual,630,,TRUE,FALSE,,,,,,NX6011BR-CH-1.jpg,1,jambi-rocker-recliner-chair,FALSE,JAMBI Rocker Recliner Chair,"Shop JAMBI Rocker Recliner Chair. Transitional style. Breathable Leather, Solid Wood build. Color: Brown. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/NX6011BR-CH-1.jpg,lb,,310,active
jambi-rocker-recliner-chair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NX6011BR-1-Z.jpg,2,jambi-rocker-recliner-chair,,,,,,,,
jambi-sofa,JAMBI Sofa,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with JAMBI Sofa, styled in Transitional and designed for everyday comfort. This nexoes sofa is made to fit naturally into the room. With Breathable Leather, Solid Wood, and Brown tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: 87.4""W X 41.3""D X 41.1""H</p>

<p>Features<br>
- Made with solid wood &amp; wood veneer</p>

<p>Materials: Breathable Leather, Solid Wood.<br>
Color: Brown<br>
Weight: 108 lbs</p>",GOODDEGG,Furniture > Sofas,Sofa,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Nexoes, Sofa, JAMBI, LIVING ROOM FURNITURE",TRUE,Color,Brown,,,,,,,,NX6011BR-SF,48988,shopify,20,deny,manual,1137,,TRUE,FALSE,,,,,,NX6011BR-SF-1.jpg,1,jambi-sofa,FALSE,JAMBI Sofa,"Shop JAMBI Sofa. Transitional style. Breathable Leather, Solid Wood build. Color: Brown. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/NX6011BR-SF-1.jpg,lb,,549,active
jambi-sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NX6011BR-1-Z.jpg,2,jambi-sofa,,,,,,,,
