Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
alanis-bed,alanis bed,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with ALANIS, styled in Contemporary and designed for everyday comfort.<br>
This bedroom bed is made to fit naturally into the room. With Fabric, Mirror, Solid Wood, Engineered Wood and Light Gray tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: Varies by variant (see Variant Details below).<br>
Size: Queen, E.King, Cal.King</p>

<p>Features<br>
- Fabric<br>
- Mirror<br>
- Solid Wood<br>
- Engineered Wood<br>
- Padded Headboard w/ LED Light Trim<br>
- Mirror Trim<br>
- Felt-lined Top Drawers &amp; English Dovetail Drawer Construction<br>
- Jewelry Drawers in Dresser<br>
- LED Light in Mirror<br>
- Ball Bearing Metal Glides<br>
<strong>Variant Details</strong><br>
- <strong>Size: Queen | Color: Light Gray | Dimensions: 90 1/2&quot;L X 64 3/4&quot;W X 68&quot;H | Weight: 161.78 lbs | Volume: 17.1 cuft</strong><br>
- <strong>Size: E.King | Color: Light Gray | Dimensions: 90 1/2&quot;L X 80 1/2&quot;W X 68&quot;H | Weight: 189.2 lbs | Volume: 21.1 cuft</strong><br>
- <strong>Size: Cal.King | Color: Light Gray | Dimensions: 94 1/2&quot;L X 80 1/2&quot;W X 68&quot;H | Weight: 199.1 lbs | Volume: 21.4 cuft</strong><br>
</p>

<p>Materials: Fabric, Mirror, Solid Wood, Engineered Wood.<br>
Color: Light Gray<br>
Weight: 161.78 - 199.1 lbs</p>",GOODDEGG,Furniture > Beds & Accessories > Beds & Bed Frames,Bed,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Bedroom, Bed, ALANIS, BEDROOM FURNITURE",TRUE,Size,Queen,,,,,,,,CM7579Q-BED,73382,shopify,20,deny,manual,1257,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7579-Z.jpg,1,alanis-bed,FALSE,alanis bed,"Shop alanis bed. Contemporary style. Fabric, Mirror build. Multiple sizes available. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7579-Z.jpg,lb,,489,active
alanis-bed,,,,,,,,,E.King,,,,,,,,CM7579EK-BED,85820,shopify,20,deny,manual,1527,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7579-1.jpg,2,alanis-bed,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7579-Z.jpg,lb,,569,
alanis-bed,,,,,,,,,Cal.King,,,,,,,,CM7579CK-BED,90310,shopify,20,deny,manual,1527,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7579-2.jpg,3,alanis-bed,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7579-Z.jpg,lb,,569,
aldgate-bed,aldgate bed,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with ALDGATE, styled in Contemporary and designed for everyday comfort.<br>
This bedroom bed is made to fit naturally into the room. With Fabric, Solid Rubberwood, Engineered Wood, Other and Light Gray tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: Varies by variant (see Variant Details below).<br>
Size: Queen, E.King</p>

<p>Features<br>
- Fabric<br>
- Solid Rubberwood<br>
- Engineered Wood<br>
- Other<br>
- Vertical Reeded with Silver Line Accent<br>
- Reeded Plinth Base<br>
- Foundation Required<br>
<strong>Variant Details</strong><br>
- <strong>Size: Queen | Color: Light Gray | Dimensions: 63&quot;W X 92&quot;D X 61.5&quot;H | Weight: 212.67 lbs | Volume: 21.9 cuft</strong><br>
- <strong>Size: E.King | Color: Light Gray | Dimensions: 79&quot;W X 92&quot;D X 61.5&quot;H | Weight: 247.76 lbs | Volume: 30.7 cuft</strong><br>
</p>

<p>Materials: Fabric, Solid Rubberwood, Engineered Wood, Other.<br>
Color: Light Gray<br>
Weight: 212.67 - 247.76 lbs</p>",GOODDEGG,Furniture > Beds & Accessories > Beds & Bed Frames,Bed,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Bedroom, Bed, ALDGATE, BEDROOM FURNITURE",TRUE,Size,Queen,,,,,,,,FM7244GY-Q-BED,96465,shopify,20,deny,manual,1257,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7244GY-1-Z.jpg,1,aldgate-bed,FALSE,aldgate bed,"Shop aldgate bed. Contemporary style. Fabric, Solid Rubberwood build. Multiple sizes available. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7244GY-1-Z.jpg,lb,,529,active
aldgate-bed,,,,,,,,,E.King,,,,,,,,FM7244GY-EK-BED,112382,shopify,20,deny,manual,1497,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7244GY-2.jpg,2,aldgate-bed,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7244GY-1-Z.jpg,lb,,599,
aldridge-bed,aldridge bed,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with ALDRIDGE, styled in Contemporary and designed for everyday comfort.<br>
This bedroom bed is made to fit naturally into the room. With Fabric, Solid Rubberwood, Engineered Wood, Other and Light Gray tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: Varies by variant (see Variant Details below).<br>
Size: Queen, E.King</p>

<p>Features<br>
- Fabric<br>
- Solid Rubberwood<br>
- Engineered Wood<br>
- Other<br>
- Channel Padded Headboard<br>
- Vertical Reeded with Silver Line Accent<br>
- Foundation Required<br>
<strong>Variant Details</strong><br>
- <strong>Size: Queen | Color: Light Gray | Dimensions: 63&quot;W X 92&quot;D X 61.5&quot;H | Weight: 199.18 lbs | Volume: 20.2 cuft</strong><br>
- <strong>Size: E.King | Color: Light Gray | Dimensions: 79&quot;W X 92&quot;D X 61.5&quot;H | Weight: 229.2 lbs | Volume: 24.2 cuft</strong><br>
</p>

<p>Materials: Fabric, Solid Rubberwood, Engineered Wood, Other.<br>
Color: Light Gray<br>
Weight: 199.18 - 229.2 lbs</p>",GOODDEGG,Furniture > Beds & Accessories > Beds & Bed Frames,Bed,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Bedroom, Bed, ALDRIDGE, BEDROOM FURNITURE",TRUE,Size,Queen,,,,,,,,FM7243GY-Q-BED,90347,shopify,20,deny,manual,1257,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7243GY-1-Z.jpg,1,aldridge-bed,FALSE,aldridge bed,"Shop aldridge bed. Contemporary style. Fabric, Solid Rubberwood build. Multiple sizes available. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7243GY-1-Z.jpg,lb,,529,active
aldridge-bed,,,,,,,,,E.King,,,,,,,,FM7243GY-EK-BED,103963,shopify,20,deny,manual,1587,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7243GY-2.jpg,2,aldridge-bed,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7243GY-1-Z.jpg,lb,,609,
aldridge-bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/FM7243GY-leg.jpg,3,aldridge-bed,,,,,,,,
alison-bed,alison bed,"<p><span style=""color:#1e73be;""><strong>FREE SHIPPING</strong></span><br>
Elevate your space with ALISON, styled in Contemporary and designed for everyday comfort.<br>
This bedroom bed is made to fit naturally into the room. With Solid Wood, Engineered Wood and Metallic Gray tones, it blends structure and softness in one clean profile.<br>
Product Dimensions: Varies by variant (see Variant Details below).<br>
Size: Full, Queen, E.King, Cal.King</p>

<p>Features<br>
- Solid Wood<br>
- Engineered Wood<br>
- Textured Headboard Panel w/ LED Lighting<br>
- Bracket Feet<br>
- Acrylic Hardware on Case Goods<br>
- Mattress Ready<br>
<strong>Variant Details</strong><br>
- <strong>Size: Full | Color: Metallic Gray | Dimensions: 78 3/8&quot;L X 57 1/4&quot;W X 51&quot;H | Weight: 92.5 lbs | Volume: 8.7 cuft</strong><br>
- <strong>Size: Queen | Color: Metallic Gray | Dimensions: 83 1/2&quot;L X 63 3/8&quot;W X 51&quot;H | Weight: 104.6 lbs | Volume: 9.5 cuft</strong><br>
- <strong>Size: E.King | Color: Metallic Gray | Dimensions: 83 1/2&quot;L X 79 3/8&quot;W X 51&quot;H | Weight: 127 lbs | Volume: 11.2 cuft</strong><br>
- <strong>Size: Cal.King | Color: Metallic Gray | Dimensions: 88 3/8&quot;L X 79 3/8&quot;W X 51&quot;H | Weight: 133.3 lbs | Volume: 11.6 cuft</strong><br>
</p>

<p>Materials: Solid Wood, Engineered Wood.<br>
Color: Metallic Gray<br>
Weight: 92.5 - 133.3 lbs</p>",GOODDEGG,Furniture > Beds & Accessories > Beds & Bed Frames,Bed,"Furniture of America, Quick Ship Furniture, New Arrival, Indoor Furniture, 2026, Bedroom, Bed, ALISON, BEDROOM FURNITURE",TRUE,Size,Full,,,,,,,,CM7416GY-F-BED,41957,shopify,20,deny,manual,597,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7416GY-1-Z.jpg,1,alison-bed,FALSE,alison bed,"Shop alison bed. Contemporary style. Solid Wood, Engineered Wood build. Multiple sizes available. Free shipping. Buy now at GOODDEGG.",https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7416GY-1-Z.jpg,lb,,239,active
alison-bed,,,,,,,,,Queen,,,,,,,,CM7416GY-Q-BED,47446,shopify,20,deny,manual,597,,TRUE,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7416GY-2.jpg,2,alison-bed,,,,https://cdn.shopify.com/s/files/1/0268/6749/9079/files/CM7416GY-1-Z.jpg,lb,,249,
